UserID	WindowID	Split	ApplicationDate	JobID
554	1	Train	2012-04-02 05:08:44.72	283949
20903	1	Train	2012-04-04 11:58:01.63	283949
54580	1	Train	2012-04-18 18:17:18.247	283949
71003	1	Train	2012-04-04 21:50:31.5	283949
115981	1	Train	2012-04-01 00:41:49.213	283949
121452	1	Train	2012-04-04 12:52:24.367	283949
141576	1	Train	2012-04-02 13:39:37	283949
166097	1	Train	2012-04-04 12:24:01.253	283949
177180	1	Train	2012-04-20 12:37:23.237	283949
188208	1	Train	2012-04-02 14:25:10.353	283949
188520	1	Train	2012-04-19 16:19:21.167	283949
196615	1	Train	2012-04-02 09:38:07.803	283949
206637	1	Train	2012-04-06 12:01:07.507	283949
209032	1	Train	2012-04-14 17:49:54.133	283949
291716	1	Train	2012-04-06 22:15:53.4	283949
327276	1	Train	2012-04-07 23:48:01.573	283949
343138	1	Train	2012-04-06 17:36:53.757	283949
388459	1	Train	2012-04-08 23:07:27.697	283949
437464	1	Train	2012-04-07 17:00:21.163	283949
443414	1	Train	2012-04-09 17:15:47.83	283949
447416	1	Train	2012-04-06 11:46:13.137	283949
556816	1	Train	2012-04-06 12:23:12.687	283949
602768	1	Train	2012-04-17 14:15:09.343	283949
606660	1	Train	2012-04-03 19:44:52.953	283949
657889	1	Train	2012-04-09 09:17:52.36	283949
675975	1	Train	2012-04-02 11:05:22.213	283949
679135	1	Train	2012-04-01 06:43:00.42	283949
688238	1	Train	2012-04-06 12:45:26.72	283949
709622	1	Train	2012-04-09 12:09:14.983	283949
741211	1	Train	2012-04-05 01:26:50.257	283949
743597	1	Train	2012-04-08 21:15:29.95	283949
748001	1	Train	2012-04-02 16:25:05.27	283949
807327	1	Train	2012-04-04 13:29:33.923	283949
808222	1	Train	2012-04-03 10:03:59.63	283949
814518	1	Train	2012-04-17 09:24:32.147	283949
816471	1	Train	2012-04-09 04:18:34.723	283949
821350	1	Train	2012-04-03 10:04:30.357	283949
836356	1	Train	2012-04-09 13:13:31.653	283949
839715	1	Train	2012-04-07 11:59:29.443	283949
862600	1	Train	2012-04-09 19:38:05.147	283949
863070	1	Train	2012-04-05 18:37:42.48	283949
872158	1	Train	2012-04-09 14:00:48.283	283949
906097	1	Train	2012-04-07 16:07:55.56	283949
914295	1	Train	2012-04-03 12:28:24.073	283949
914918	1	Train	2012-04-05 15:14:16.54	283949
933247	1	Train	2012-04-04 15:55:13.247	283949
